               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,    train/theta_loss,   metrics/precision,      metrics/recall,    metrics/HBBmAP.5,metrics/HBBmAP.5:.95,        val/box_loss,        val/obj_loss,        val/cls_loss,      val/theta_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.11227,            0.089581,            0.027405,             0.72107,           0.0042619,            0.019636,          0.00084287,          0.00014237,             0.10121,            0.082981,            0.024384,             0.61005,             0.00022,             0.00022,             0.09802
                   1,             0.10043,             0.10289,            0.022837,             0.54273,             0.01215,            0.096311,           0.0060694,           0.0011323,            0.098794,            0.074052,             0.02214,             0.43904,          0.00044999,          0.00044999,             0.09595
                   2,            0.095674,            0.092664,            0.020884,             0.37639,            0.031921,             0.14256,           0.0086375,            0.001458,             0.09409,             0.08897,            0.022676,             0.27823,          0.00067994,          0.00067994,             0.09388
                   3,            0.095498,            0.078492,            0.020644,             0.25623,            0.026654,             0.17387,            0.012855,           0.0022138,            0.093511,            0.080433,            0.021502,             0.21195,          0.00090982,          0.00090982,             0.09181
                   4,            0.098551,            0.075225,            0.019981,             0.21385,            0.038585,              0.2646,             0.02709,           0.0047689,            0.098231,            0.063519,            0.021198,               0.198,           0.0011396,           0.0011396,             0.08974
                   5,             0.10186,              0.0684,            0.019842,             0.20159,            0.036929,             0.30928,            0.028629,           0.0054278,             0.09429,            0.063454,            0.021207,             0.18839,           0.0013692,           0.0013692,            0.087669
                   6,             0.10742,            0.064113,            0.019536,             0.19742,            0.048894,             0.19563,            0.027109,           0.0061795,             0.10427,            0.051519,            0.020834,             0.18999,           0.0015987,           0.0015987,            0.085599
                   7,             0.10469,            0.065037,            0.019527,             0.19489,            0.082103,             0.22283,            0.046034,             0.00968,            0.093212,            0.058816,            0.020271,             0.18103,            0.001828,            0.001828,            0.083528
                   8,             0.10816,            0.061045,            0.018648,             0.19251,            0.090532,             0.29657,            0.066557,             0.01442,             0.11229,            0.040595,            0.019791,             0.17702,           0.0020571,           0.0020571,            0.081457
                   9,             0.11675,            0.050258,            0.018174,             0.18982,             0.09319,             0.26904,            0.061711,            0.013608,             0.12544,            0.029808,            0.018498,             0.17827,           0.0022859,           0.0022859,            0.079386
                  10,             0.12341,            0.040589,            0.016895,             0.18652,            0.075688,             0.19127,            0.050333,             0.01078,               0.127,            0.028155,            0.017003,             0.17236,           0.0025145,           0.0025145,            0.077314
                  11,             0.11867,            0.044586,            0.015342,             0.18345,             0.16269,              0.2946,             0.11428,            0.023799,             0.11831,            0.034086,            0.015466,             0.16679,           0.0027427,           0.0027427,            0.075243
                  12,              0.1194,            0.044777,            0.013566,             0.17915,            0.073684,             0.25507,            0.055261,            0.010543,             0.11628,            0.035754,            0.013335,             0.16007,           0.0029706,           0.0029706,            0.073171
                  13,             0.12055,            0.040774,             0.01255,             0.17477,            0.069876,             0.22618,            0.052533,            0.011299,             0.11818,            0.032428,            0.013765,             0.16117,           0.0031981,           0.0031981,            0.071098
