               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,    train/theta_loss,   metrics/precision,      metrics/recall,    metrics/HBBmAP.5,metrics/HBBmAP.5:.95,        val/box_loss,        val/obj_loss,        val/cls_loss,      val/theta_loss,               x/lr0,               x/lr1,               x/lr2
                  31,             0.11041,            0.039022,           0.0045181,             0.11743,             0.30831,             0.37903,             0.22006,            0.056515,             0.11396,            0.024813,            0.019076,            0.097794,           0.0098042,           0.0098042,           0.0098042
                  32,             0.10519,            0.043103,           0.0046185,             0.11934,             0.20988,              0.1817,              0.1184,            0.028447,             0.10773,            0.028199,            0.025466,            0.099857,           0.0097911,           0.0097911,           0.0097911
                  33,             0.10303,            0.043267,           0.0040961,             0.11858,              0.3509,             0.30922,             0.26437,            0.073422,            0.096555,            0.029969,            0.017628,            0.097541,           0.0097775,           0.0097775,           0.0097775
                  34,             0.10954,            0.047113,           0.0042368,             0.11778,             0.50545,             0.51999,             0.44032,             0.15228,             0.10314,            0.034899,            0.026251,            0.097377,           0.0097635,           0.0097635,           0.0097635
                  35,             0.10666,            0.043959,            0.003874,             0.11688,             0.41951,             0.51752,             0.35438,             0.10109,            0.094869,            0.034629,            0.021697,             0.10155,           0.0097491,           0.0097491,           0.0097491
                  36,            0.099417,            0.049213,           0.0038921,             0.11691,             0.31284,             0.31502,             0.22655,            0.063793,             0.10293,            0.033225,            0.022544,            0.099728,           0.0097343,           0.0097343,           0.0097343
                  37,            0.095709,            0.051357,            0.003964,             0.11786,             0.33398,             0.33957,             0.24072,            0.060418,            0.086764,            0.037928,            0.018383,             0.09774,           0.0097191,           0.0097191,           0.0097191
                  38,            0.095897,            0.052405,           0.0038633,             0.11733,             0.42866,             0.41056,             0.36383,            0.099045,             0.09127,            0.036447,            0.016557,             0.10131,           0.0097035,           0.0097035,           0.0097035
                  39,            0.093428,            0.052693,           0.0039644,             0.11667,             0.36088,             0.37253,             0.25156,            0.065058,            0.090945,            0.036042,            0.016397,             0.10383,           0.0096875,           0.0096875,           0.0096875
                  40,            0.091831,            0.051955,           0.0040104,             0.11501,             0.39166,              0.4313,             0.34507,            0.092396,            0.091043,            0.034462,            0.013237,            0.098883,            0.009671,            0.009671,            0.009671
                  41,            0.091163,            0.052009,            0.003628,             0.11481,             0.46012,             0.52054,             0.44543,             0.13521,            0.077544,            0.038449,            0.020296,             0.10021,           0.0096542,           0.0096542,           0.0096542
                  42,            0.088813,            0.054252,           0.0035724,              0.1151,             0.45788,             0.42345,             0.38375,              0.1339,             0.08736,            0.034706,            0.020422,             0.10452,           0.0096369,           0.0096369,           0.0096369
                  43,            0.087876,            0.054456,           0.0036052,             0.11606,             0.30677,             0.50746,             0.34422,             0.10764,              0.0956,            0.035784,            0.016843,             0.10183,           0.0096193,           0.0096193,           0.0096193
                  44,            0.087684,            0.055356,            0.003859,             0.11606,              0.5225,             0.44537,             0.43477,             0.13538,            0.076432,            0.037617,             0.02315,            0.097795,           0.0096013,           0.0096013,           0.0096013
                  45,            0.084954,            0.055593,           0.0036735,             0.11586,             0.63044,             0.60826,             0.58041,             0.19453,            0.068822,            0.039777,            0.017839,            0.097118,           0.0095828,           0.0095828,           0.0095828
                  46,            0.086912,            0.053897,           0.0035323,             0.11472,             0.47499,             0.45663,             0.37943,             0.11818,            0.082254,            0.038463,            0.018046,             0.10114,            0.009564,            0.009564,            0.009564
                  47,            0.084944,            0.054244,           0.0036729,             0.11475,              0.5232,             0.53276,             0.42986,             0.14499,            0.080499,             0.03786,            0.015406,             0.10163,           0.0095448,           0.0095448,           0.0095448
                  48,            0.083921,            0.054551,           0.0035588,             0.11394,             0.57791,             0.56294,             0.49358,             0.16127,            0.073845,            0.038429,            0.023247,             0.10302,           0.0095252,           0.0095252,           0.0095252
                  49,            0.082964,            0.053559,           0.0035245,             0.11412,             0.67177,             0.57259,             0.56145,             0.21056,            0.068854,            0.039481,            0.020487,             0.10293,           0.0095052,           0.0095052,           0.0095052
                  50,            0.082705,            0.055965,            0.003432,              0.1148,             0.59387,             0.63891,             0.59934,               0.249,            0.069353,            0.041798,            0.025289,             0.10266,           0.0094849,           0.0094849,           0.0094849
                  51,            0.082408,            0.053485,           0.0032801,             0.11319,             0.65107,             0.56969,             0.55786,             0.21785,            0.073123,            0.039738,            0.025075,            0.097918,           0.0094641,           0.0094641,           0.0094641
                  52,            0.082089,            0.054687,           0.0032687,             0.11266,             0.66357,             0.59369,             0.60213,             0.24601,            0.066625,            0.039348,            0.029112,             0.10022,            0.009443,            0.009443,            0.009443
                  53,            0.081368,             0.05328,           0.0031818,             0.11313,             0.61782,             0.64042,             0.60317,             0.21824,            0.072375,            0.040154,            0.025526,             0.09614,           0.0094215,           0.0094215,           0.0094215
                  54,            0.080565,             0.05453,           0.0028714,             0.11304,             0.47473,             0.50466,             0.38909,             0.12253,            0.072982,            0.039283,            0.028702,            0.095036,           0.0093996,           0.0093996,           0.0093996
                  55,            0.080417,            0.056032,           0.0033048,             0.11329,              0.7036,             0.60888,             0.61479,             0.27727,            0.075164,            0.038089,             0.01861,            0.096104,           0.0093773,           0.0093773,           0.0093773
                  56,            0.079495,             0.05327,           0.0034155,             0.11115,              0.6184,             0.56616,             0.56961,             0.20954,            0.072967,            0.045176,            0.015676,            0.095139,           0.0093547,           0.0093547,           0.0093547
                  57,            0.079795,            0.053059,           0.0031118,             0.11195,             0.65096,             0.61839,             0.59993,             0.24029,            0.060967,            0.040193,            0.011271,            0.099173,           0.0093317,           0.0093317,           0.0093317
                  58,             0.07913,            0.055778,           0.0033827,             0.11166,              0.6808,             0.54756,             0.58346,             0.20726,            0.077548,             0.03814,            0.011018,            0.098498,           0.0093083,           0.0093083,           0.0093083
