               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,    train/theta_loss,   metrics/precision,      metrics/recall,    metrics/HBBmAP.5,metrics/HBBmAP.5:.95,        val/box_loss,        val/obj_loss,        val/cls_loss,      val/theta_loss,               x/lr0,               x/lr1,               x/lr2
                   0,              0.1144,            0.089235,            0.027181,             0.74801,           0.0017877,           0.0041841,          0.00049715,          8.8885e-05,             0.10026,            0.085268,            0.024042,             0.62579,             0.00022,             0.00022,             0.09802
                   1,              0.1012,             0.10323,            0.022544,             0.55641,           0.0030285,             0.15368,           0.0018984,          0.00036463,            0.098005,             0.08383,            0.022508,             0.46463,          0.00044999,          0.00044999,             0.09595
                   2,              0.0966,            0.096088,            0.020869,             0.40935,            0.021803,             0.14755,           0.0083009,           0.0016069,            0.095866,            0.092219,            0.023057,             0.32288,          0.00067994,          0.00067994,             0.09388
                   3,            0.094748,             0.08432,            0.020614,             0.29545,            0.039736,             0.20514,             0.02025,           0.0033647,            0.092659,            0.076705,            0.022242,              0.2385,          0.00090982,          0.00090982,             0.09181
                   4,            0.095062,            0.080482,            0.019804,             0.23074,            0.043773,             0.25223,            0.030562,           0.0055983,            0.089843,            0.070456,            0.021737,             0.20946,           0.0011396,           0.0011396,             0.08974
                   5,             0.09753,            0.075091,            0.020136,             0.20859,            0.033717,             0.16814,            0.016848,           0.0029349,            0.083987,            0.070579,            0.021139,             0.19866,           0.0013692,           0.0013692,            0.087669
                   6,            0.099929,            0.071495,            0.019901,             0.20099,            0.036866,             0.37344,            0.028537,            0.005453,            0.092598,            0.059824,            0.020869,             0.19337,           0.0015987,           0.0015987,            0.085599
                   7,             0.10114,            0.069946,            0.020024,             0.19747,             0.06303,             0.23994,            0.034874,           0.0067694,            0.091112,            0.060549,            0.020593,             0.19189,            0.001828,            0.001828,            0.083528
                   8,             0.10375,            0.065253,            0.019781,             0.19517,            0.062172,              0.3037,            0.042132,           0.0084759,            0.090366,            0.061216,             0.02059,              0.1912,           0.0020571,           0.0020571,            0.081457
                   9,             0.10337,            0.067093,            0.019473,              0.1922,            0.064738,             0.29746,            0.057157,            0.013121,            0.096226,            0.055093,            0.020333,              0.1771,           0.0022859,           0.0022859,            0.079386
